#YY	MM	DD	hh	mm	WDI	R WSP	D GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2016	1	13	5	36	999	99	99	1.53	11.11	8.81	347	9999	999	25.1	999	99	99
2016	1	13	6	6	999	99	99	1.48	11.76	8.77	2	9999	999	25.1	999	99	99
2016	1	13	6	36	999	99	99	1.62	11.11	8.91	347	9999	999	25	999	99	99
2016	1	13	7	6	999	99	99	1.7	16.67	9.46	349	9999	999	25	999	99	99
2016	1	13	7	36	999	99	99	1.63	10.53	9.41	347	9999	999	25	999	99	99
2016	1	13	8	6	999	99	99	1.57	10.53	9.07	354	9999	999	25	999	99	99
2016	1	13	8	36	999	99	99	1.55	10.53	9.18	355	9999	999	25	999	99	99
2016	1	13	9	6	999	99	99	1.75	12.5	9.42	2	9999	999	25	999	99	99
2016	1	13	9	36	999	99	99	1.62	10.53	9.35	356	9999	999	25	999	99	99
2016	1	13	10	6	999	99	99	1.53	9.88	8.94	355	9999	999	25	999	99	99
2016	1	13	10	36	999	99	99	1.61	11.11	9.23	352	9999	999	25	999	99	99
2016	1	13	11	6	999	99	99	1.51	11.76	9.13	352	9999	999	25	999	99	99
2016	1	13	11	36	999	99	99	1.45	11.76	9.03	1	9999	999	25	999	99	99
2016	1	13	12	6	999	99	99	1.56	11.11	9.05	347	9999	999	25	999	99	99
2016	1	13	12	36	999	99	99	1.43	12.5	9.18	1	9999	999	25	999	99	99
2016	1	13	13	6	999	99	99	1.5	9.88	8.87	356	9999	999	25	999	99	99
2016	1	13	13	36	999	99	99	1.51	12.5	9.06	354	9999	999	25	999	99	99
2016	1	13	14	6	999	99	99	1.5	11.11	9.25	8	9999	999	25	999	99	99
2016	1	13	14	36	999	99	99	1.52	14.29	9.41	344	9999	999	25	999	99	99
2016	1	13	15	6	999	99	99	1.54	14.29	9.6	348	9999	999	25	999	99	99
2016	1	13	15	36	999	99	99	1.5	11.11	9.44	2	9999	999	25	999	99	99
2016	1	13	16	6	999	99	99	1.38	11.76	9.01	358	9999	999	25	999	99	99
2016	1	13	16	36	999	99	99	1.43	12.5	9.11	355	9999	999	25	999	99	99
2016	1	13	17	6	999	99	99	1.5	11.76	9.01	6	9999	999	25	999	99	99
2016	1	13	17	36	999	99	99	1.24	12.5	8.65	1	9999	999	25	999	99	99
2016	1	13	18	6	999	99	99	1.24	11.76	8.87	1	9999	999	25	999	99	99
2016	1	13	18	36	999	99	99	1.31	13.33	8.98	345	9999	999	25	999	99	99
2016	1	13	19	6	999	99	99	1.37	10.53	8.84	8	9999	999	25	999	99	99
2016	1	13	19	36	999	99	99	1.23	10.53	8.77	358	9999	999	25	999	99	99
2016	1	13	20	6	999	99	99	1.42	13.33	8.98	345	9999	999	25.1	999	99	99
2016	1	13	20	36	999	99	99	1.21	11.76	8.68	5	9999	999	25.2	999	99	99
2016	1	13	21	6	999	99	99	1.36	11.76	9.09	356	9999	999	25.4	999	99	99
2016	1	13	21	36	999	99	99	1.29	9.88	8.85	13	9999	999	25.4	999	99	99
2016	1	13	22	6	999	99	99	1.35	12.5	9.17	356	9999	999	25.5	999	99	99
2016	1	13	22	36	999	99	99	1.23	12.5	8.68	345	9999	999	25.5	999	99	99
2016	1	13	23	6	999	99	99	1.36	12.5	9.26	352	9999	999	25.7	999	99	99
2016	1	13	23	36	999	99	99	1.23	11.76	8.88	345	9999	999	25.7	999	99	99
2016	1	14	0	6	999	99	99	1.33	12.5	9.31	349	9999	999	25.6	999	99	99
2016	1	14	0	36	999	99	99	1.2	11.76	8.74	2	9999	999	25.6	999	99	99
2016	1	14	1	6	999	99	99	1.12	11.76	8.46	348	9999	999	25.6	999	99	99
2016	1	14	2	6	999	99	99	1.1	11.76	8.68	356	9999	999	25.4	999	99	99
2016	1	14	2	36	999	99	99	1.14	11.76	9.03	349	9999	999	25.5	999	99	99
2016	1	14	3	6	999	99	99	1.13	11.76	8.92	342	9999	999	25.5	999	99	99
2016	1	14	3	36	999	99	99	1.13	11.11	9.01	349	9999	999	25.4	999	99	99
2016	1	14	4	6	999	99	99	1.15	11.76	9.15	349	9999	999	25.4	999	99	99
2016	1	14	4	36	999	99	99	1.15	11.11	8.79	348	9999	999	25.3	999	99	99
2016	1	14	5	6	999	99	99	1.2	11.76	9.3	359	9999	999	25.2	999	99	99
2016	1	14	5	36	999	99	99	1.04	11.11	8.93	354	9999	999	25.2	999	99	99
2016	1	14	6	6	999	99	99	1.14	11.11	9.21	356	9999	999	25.2	999	99	99
2016	1	14	6	36	999	99	99	1.17	11.11	9.17	348	9999	999	25.1	999	99	99
2016	1	14	7	6	999	99	99	1.29	11.11	9.13	351	9999	999	25.1	999	99	99
2016	1	14	7	36	999	99	99	1.09	11.11	8.63	356	9999	999	25.1	999	99	99
2016	1	14	8	6	999	99	99	1.12	11.11	8.91	349	9999	999	25.1	999	99	99
2016	1	14	8	36	999	99	99	0.99	11.11	8.55	356	9999	999	25	999	99	99
2016	1	14	9	6	999	99	99	1.15	10.53	8.89	358	9999	999	25	999	99	99
2016	1	14	9	36	999	99	99	1.05	9.88	8.69	347	9999	999	25	999	99	99
2016	1	14	10	6	999	99	99	1.09	10.53	8.73	348	9999	999	25	999	99	99
2016	1	14	10	36	999	99	99	0.97	10.53	8.57	349	9999	999	25	999	99	99
2016	1	14	11	6	999	99	99	1.01	11.11	8.75	354	9999	999	25	999	99	99
2016	1	14	11	36	999	99	99	1.02	11.11	8.61	355	9999	999	25	999	99	99
2016	1	14	12	6	999	99	99	1.02	11.11	8.85	351	9999	999	25	999	99	99
2016	1	14	12	36	999	99	99	1.08	10.53	8.83	349	9999	999	25	999	99	99
2016	1	14	13	6	999	99	99	0.99	10.53	8.4	347	9999	999	25	999	99	99
2016	1	14	13	36	999	99	99	0.93	10.53	8.19	351	9999	999	25	999	99	99
2016	1	14	14	6	999	99	99	0.99	9.88	8.34	344	9999	999	25	999	99	99
2016	1	14	14	36	999	99	99	1.07	9.88	8.54	354	9999	999	25	999	99	99
2016	1	14	15	6	999	99	99	1.05	9.88	8.29	355	9999	999	25	999	99	99
2016	1	14	15	36	999	99	99	0.93	10.53	8.27	348	9999	999	25	999	99	99
2016	1	14	16	6	999	99	99	1.05	10.53	8.32	351	9999	999	25	999	99	99
2016	1	14	16	36	999	99	99	1.01	9.88	8.38	352	9999	999	25	999	99	99
2016	1	14	17	6	999	99	99	0.96	9.88	8.13	348	9999	999	24.9	999	99	99
2016	1	14	17	36	999	99	99	0.88	9.09	7.83	2	9999	999	24.9	999	99	99
2016	1	14	18	6	999	99	99	0.85	9.09	7.87	8	9999	999	25	999	99	99
2016	1	14	18	36	999	99	99	0.82	8.33	7.87	12	9999	999	25	999	99	99
2016	1	14	19	6	999	99	99	0.79	9.88	7.83	355	9999	999	25	999	99	99
2016	1	14	19	36	999	99	99	0.81	9.09	8.06	19	9999	999	25	999	99	99
2016	1	14	20	6	999	99	99	0.75	9.88	7.63	5	9999	999	25	999	99	99
2016	1	14	20	36	999	99	99	0.71	10.53	7.73	352	9999	999	25.2	999	99	99
2016	1	14	21	6	999	99	99	0.71	9.88	7.8	332	9999	999	25.2	999	99	99
2016	1	14	21	36	999	99	99	0.71	10.53	7.95	354	9999	999	25.4	999	99	99
2016	1	14	22	6	999	99	99	0.76	11.76	7.99	358	9999	999	25.4	999	99	99
2016	1	14	22	36	999	99	99	0.82	9.88	8.18	354	9999	999	25.5	999	99	99
