Date,Time,FalconID,pH (mV),pH_nbs,temp (C),sal (psu),Tris date,Notes
20230618,0:31,Nalgene1,-52.8,8.08,23.87,33,20230617,Nalgene1 was sitting on bench prior to measurements
20230618,0:34,Nalgene2,-51.1,8.05,28.3,33,20230617,
20230618,0:37,Nalgene3,-51.2,8.05,28.51,33,20230617,
20230618,0:39,Nalgene4,-52.3,8.07,25.5,33,20230617,
20230618,5:46,22,-45.2,7.94,24.6,34,20230617,
20230618,5:47,184,-45.5,7.95,24.51,34,20230617,
20230618,5:49,69,-47.7,7.99,25,34,20230617,
20230618,5:51,81,-46.6,7.97,29.15,34,20230617,
20230618,5:53,53,-45,7.94,29.92,34,20230617,
20230618,5:54,18,-41.8,7.89,29.53,34,20230617,
20230618,16:19,87,-30.4,7.69,28.37,34,20230617,
20230618,16:20,75,-6.4,7.27,29.34,34,20230617,
20230618,16:22,27,-23.5,7.57,29.25,34,20230617,
20230618,16:24,76,-40.2,7.86,28.03,34,20230617,
20230618,16:26,51,-38.9,7.84,28.51,34,20230617,
20230618,16:28,202,-40.2,7.86,27.51,34,20230617,
20230618,16:30,52,-36.8,7.8,25.23,34,20230617,
20230618,16:32,70,-28.1,7.65,25.18,34,20230617,
20230618,16:33,71,-41.2,7.88,25.33,34,20230617,
20230618,16:35,36,-32.3,7.72,25.35,34,20230617,
20230618,16:37,Nalgene1,-50.1,8.03,24.61,34,20230617,
20230618,16:38,Nalgene2,-47.1,7.98,28,34,20230617,
20230618,16:39,Nalgene3,-45.6,7.95,28.8,34,20230617,
20230618,16:40,Nalgene4,-47.9,7.99,25.14,34,20230617,
20230619,22:40,14,-45,7.94,26.08,34,20230617,
20230619,22:41,39,-35.3,7.78,25.64,34,20230617,
20230619,22:42,47,-45.5,7.95,28.59,34,20230617,
20230619,22:43,89,-36.2,7.79,28.68,34,20230617,
20230619,22:45,44,-43.1,7.91,29.63,34,20230617,
20230619,22:46,75,-38.2,7.83,29.54,34,20230617,
20230619,22:48,72,47.8,7.99,24.92,34,20230617,
20230619,22:49,52,-35.9,7.79,25.52,34,20230617,
