Date,Tris (mV),Temp Tris (C),Person,Notes
20230617,-64.2,23.69,AH,Repeat every 4-5 days 
20230617,-62.6,25.03,AH,Orion Star A221 pH probe 
20230617,-61.4,25.98,AH,Tris Batch T27 Dickson Lab packaged 3/5/15
20230617,-60.4,26.64,AH,
20230617,-59.5,27.4,AH,
20230617,-58.4,28.24,AH,
20230617,-57.4,28.96,AH,
20230617,-56.4,29.73,AH,
20230617,-55.8,30.17,AH,
20230617,-55.5,30.57,AH,
20230617,-54.2,31.25,AH,
20230617,-53.6,31.74,AH,
20230617,-53.2,32.08,AH,
20230617,-52.5,32.4,AH,
20230617,-52.3,32.67,AH,
