"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"Montipora_capitata_HIv3___RNAseq.g42173.t1",17.5264370629659,6.67930256580999,1.32717519422339,28.2221313225257,0.000200415120072722,0.000314661889942823,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g35745.t1",12.4791437759724,5.65557698899834,1.52908122717903,20.0569358280679,0.00544800701977717,0.00724304528815694,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g8204.t1",32.3655057555787,3.19113689696314,0.608128893678358,39.9463599083671,1.28889785359481e-06,2.46647949298516e-06,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g22956.t1",215.992067083046,-2.13296376734499,0.214247078198371,437.297009535359,2.37094907579792e-90,6.65533171690984e-89,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g5416.t1",3.77642942542426,5.99066741926979,2.16468851851555,19.8939794545464,0.00580329539196867,0.00768943237088636,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.24234_t",233.505169924506,-1.30883166287285,0.204801597936553,92.3383444504799,4.09186302490069e-17,1.40368240427206e-16,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g36441.t1",10.3058632257825,7.80318569927445,1.62742900628159,50.1711199353039,1.33694617807654e-08,2.95917660214342e-08,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g26541.t1",16.5831956018278,3.13836633781404,0.844793053759969,80.2691954653138,1.21392659799949e-14,3.72788567515926e-14,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g17208.t1",6.74374040977301,7.60024984356791,1.78818562947431,24.2267240498693,0.00103936202936437,0.00150711115007414,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g23982.t1",11.2806369368791,8.1014879937821,1.57019837066255,36.2832831034224,6.40930779223725e-06,1.1538766698267e-05,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g23054.t1",340.562081432739,-1.31817169317662,0.264911306580762,105.524476193179,7.77233745312147e-20,2.96961180660373e-19,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g18748.t1",7.30722961654599,7.80998911816636,1.68693530259883,38.0750543958663,2.93222443566715e-06,5.44179766764545e-06,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g41943.t1",10.9132847609596,6.73137108449757,1.37244293074287,41.7436529608168,5.82561072540582e-07,1.14806100579066e-06,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g15942.t1",1037.30146840903,-1.62209969619191,0.117702436817833,441.759339444361,2.61163456901825e-91,7.49706368842214e-90,"Up at 1 hpf"
"Montipora_capitata_HIv3___TS.g34166.t1",13.5792469487782,8.00385595512672,1.65983781410699,32.1040771788489,3.88505346167741e-05,6.52668373575268e-05,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g36999.t1",2339.10951498432,9.41889658663567,0.3943891594345,853.355038828232,5.65623011077635e-180,1.19424330969341e-177,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g11490.t2",164.419216271782,1.48209853898472,0.372102950798492,143.469106878783,9.52817244860946e-28,4.86118649334852e-27,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g17921.t1",5.37795713661498,5.50439734937278,1.58414663749728,22.395011945732,0.00217103549339102,0.00303262194596741,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g13272.t1",53.0515236128492,-1.01196743542448,0.553826254246002,76.9702514069573,5.70369381037191e-14,1.69874809928249e-13,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g41686.t1",8.16745615183818,6.76702557586548,1.77438329097177,27.6282220277057,0.000256741012312367,0.000398524242004826,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g4789.t1",8.96494627859947,6.74932939509652,1.54659221372005,26.4210416376115,0.000423444624949553,0.000642498882318133,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g6231.t1",59.1419430471856,2.41063396754614,0.415533660803579,83.7899663836848,2.31806577021145e-15,7.34705562347993e-15,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g19968.t1",330.560790363782,-1.79711393360007,0.246814168052503,332.155244321077,8.11248416271959e-68,1.26673875160322e-66,"Up at 1 hpf"
