"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"Montipora_capitata_HIv3___RNAseq.g23056.t1",58.3173066613476,-0.832597896068159,0.382387426175863,-2.17736734807081,0.029453169876141,0.0753367948566054,"Not significant"
"Montipora_capitata_HIv3___RNAseq.g22956.t1",5.3801660163895,-3.06364259168604,1.01209891040312,-3.02701896049449,0.00246978466080988,0.00911753519605818,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g11611.t1",3.70221785944641,3.52668203639672,2.57132600083774,1.37154216744502,0.17020600797161,0.306669198622477,"Not significant"
"Montipora_capitata_HIv3___RNAseq.g7234.t1",8.36895269026709,-1.04283148347571,1.0995785550452,-0.948391980446406,0.342929940524456,0.510799592261297,"Not significant"
"Montipora_capitata_HIv3___RNAseq.g26739.t1",25.3482720521536,1.41577155899482,1.53351617974942,0.923219185875275,0.355892992460693,0.524600849416705,"Not significant"
"Montipora_capitata_HIv3___RNAseq.g23054.t1",10.6684488767677,0.133922274230201,0.720761709522991,0.185806588308961,0.85259643778249,0.938788942946961,"Not significant"
"Montipora_capitata_HIv3___RNAseq.g8206.t1",21.2632435260268,2.4922004812538,2.31650078582642,1.07584702604135,0.281995676775039,0.44367605724496,"Not significant"
"Montipora_capitata_HIv3___RNAseq.g36841.t1",12.6785633460611,3.02043431139426,1.38505250911597,2.18073631975303,0.0292029250331621,0.0748354001977134,"Not significant"
"Montipora_capitata_HIv3___RNAseq.g30231.t1",19.1869446241678,1.57671673299091,1.11981562812241,1.40801458150266,0.159126752304533,0.29077426782941,"Not significant"
"Montipora_capitata_HIv3___RNAseq.g15942.t1",12.6270920726237,-1.8305510908613,1.27504961308976,-1.43567048063755,0.151096128835586,0.279637553303477,"Not significant"
"Montipora_capitata_HIv3___RNAseq.g36999.t1",36.531167648161,8.48933901509823,1.15274495600716,7.3644555726388,1.77871277488967e-13,6.11372317474097e-12,"Up at 28 hpf"
"Montipora_capitata_HIv3___RNAseq.g47604.t1",2.59978753639154,3.90227491862914,4.0603978533046,0.961057280496106,0.336523367680479,0.503943039935765,"Not significant"
"Montipora_capitata_HIv3___TS.g7970.t2",10.3054055693763,-0.380771795353269,2.18098485882653,-0.174587087944362,0.861404095082662,0.944718465500466,"Not significant"
"Montipora_capitata_HIv3___RNAseq.g19909.t1",3.91190316809618,0.764040709865601,2.85498790951662,0.267616092985473,0.788994842257174,0.893084847222795,"Not significant"
"Montipora_capitata_HIv3___RNAseq.g9512.t1",68.9256603807535,4.48531506060549,1.17634603479554,3.81292147712732,0.000137333754533327,0.000725810395266122,"Up at 28 hpf"
"Montipora_capitata_HIv3___RNAseq.g19968.t1",3.83781131824333,-4.70368813833918,3.89978627820506,-1.20613997865138,0.22776352216681,0.380432812526548,"Not significant"
"Montipora_capitata_HIv3___RNAseq.g14916.t1",4.29458412170812,5.24610972597137,1.42455677266403,3.68262594137315,0.000230843759978357,0.00114803352658847,"Up at 28 hpf"
