"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"Montipora_capitata_HIv3___RNAseq.g23056.t1",58.3173066613476,-1.55373586287593,0.374754894308843,-4.14600552646942,3.38325663389498e-05,0.000160145234395195,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g22956.t1",5.3801660163895,-5.63922524385647,1.2738408538946,-4.42694644830654,9.55764484609828e-06,5.08460390188081e-05,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g26739.t1",25.3482720521536,4.06466671999889,1.41570982990508,2.8711157005044,0.00409025785450419,0.0116635127309224,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g36841.t1",12.6785633460611,4.48393383399124,1.29099481318351,3.47323923241345,0.000514216782262932,0.00186271028625504,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g30231.t1",19.1869446241678,3.28657448142165,1.03508316832729,3.17517913727919,0.00149744026629936,0.0048416232974291,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g15942.t1",12.6270920726237,-6.25813168946938,1.53338250072139,-4.0812593638738,4.4792336921717e-05,0.000207151157013264,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g36999.t1",36.531167648161,8.54146036174078,1.13641783372151,7.51612664663088,5.64228989838889e-14,1.25023308964071e-12,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g9512.t1",68.9256603807535,5.53190994510833,1.09616586932474,5.04659933310648,4.4974311630399e-07,3.08591494787844e-06,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g14916.t1",4.29458412170812,6.41379063273384,1.36527455642655,4.69780279910965,2.62975148735031e-06,1.56152606756554e-05,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g37069.t1",41.5015153845428,-1.78883992073689,0.535743465454025,-3.33898598132392,0.000840848075745496,0.00290537670235237,"Up at 1 hpf"
"Montipora_capitata_HIv3___TS.g21730.t1",71.6503555414665,10.2550278226913,1.5128838759507,6.77846329497499,1.21460824784514e-11,1.8981376963723e-10,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g12823.t1",11.1507633115812,-4.04389409156017,1.42827375901997,-2.83131582164958,0.00463569228865428,0.0129888118331464,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g48200.t1",10.7089893434889,-2.47481187215178,0.831050958617208,-2.9779303501071,0.00290201923134645,0.00866390846540114,"Up at 1 hpf"
"Montipora_capitata_HIv3___TS.g23217.t1",38.5466768947661,1.33390039046261,0.53028944812617,2.51541944720205,0.011889084250265,0.029527106154707,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g509.t1",20.6759784801042,-1.55839195503338,0.605584028359921,-2.57337030379402,0.0100713386269687,0.0255781289366837,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g28457.t1",14.8919446980091,5.1762375407155,0.940732784409443,5.50234628419477,3.7476993897593e-08,3.19000209730966e-07,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.36991_t",79.2414674072312,-1.6942592283292,0.300591891164041,-5.63641028960623,1.73631420861972e-08,1.57655371893563e-07,"Up at 1 hpf"
"Montipora_capitata_HIv3___TS.g3691.t3a",109.961745671727,1.12275655779027,0.46214304972979,2.42945676332628,0.0151214683922851,0.036331386754008,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g35211.t1",9.20656063756202,7.31612432998355,1.31722608851482,5.55419027437615,2.78901553848516e-08,2.43219860778122e-07,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g2455.t1b",24.347868562043,-3.23185914665222,1.09492931844397,-2.95166006810841,0.00316070677406195,0.00933239246461263,"Up at 1 hpf"
"Montipora_capitata_HIv3___TS.g46890.t3",1102.23012668473,6.2823983420755,0.470875870479121,13.341941551779,1.31976891759994e-40,6.71067763838581e-38,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g6583.t1",31.5081837821152,-1.25144500423942,0.414891864545422,-3.01631608421768,0.00255866384271824,0.00777952318360522,"Up at 1 hpf"
"Montipora_capitata_HIv3___TS.g38472.t1",158.40775856232,11.5036063289476,1.20363920217887,9.55735432023436,1.2080538958098e-21,8.10486714404062e-20,"Up at 72 hpf"
"Montipora_capitata_HIv3___TS.g23272.t1",4.56396075949385,6.8341253603338,2.30068455707204,2.9704747394972,0.00297339857765933,0.00885238941718546,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g26724.t1a",34.8167187815601,22.5857914022278,5.77057602874879,3.9139578596151,9.07954880413538e-05,0.000394236049423604,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g24170.t1",6.01191105309239,2.49746756547188,1.07579175251869,2.32151581346919,0.0202590216364047,0.0468123434655121,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g46351.t1",5.86758932552749,5.47444719199774,1.18812597005561,4.60763195988514,4.0728072896765e-06,2.32275036750677e-05,"Up at 72 hpf"
"Montipora_capitata_HIv3___TS.g26972.t2",13.8144419965517,7.95894630827368,3.04213095120253,2.61624053531541,0.00889039041810404,0.022978922681711,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g7477.t1",34.3175304535994,9.986038965749,1.33478733968417,7.48137075386992,7.3551352974544e-14,1.58966358185027e-12,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g18759.t1",8.14173617029552,8.01575710463857,2.23027738466115,3.59406285503649,0.000325561243725779,0.00124225896996692,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g39833.t1",11.9440550355384,-5.72195958699736,1.57834211950001,-3.62529740308138,0.00028862909771393,0.00111448669584903,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g10762.t1",3032.62643671091,4.74983017770978,0.432608983425813,10.9794996398273,4.79572666266914e-28,6.81345813059509e-26,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g48664.t1b",9.64180010463088,5.7173907296131,1.78467381210197,3.20360543805998,0.00135718333961985,0.0044401450200025,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g15058.t2",52.9795363442477,-2.16733807020339,0.427396642155101,-5.07102269047979,3.95683587066418e-07,2.74028611802772e-06,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g30142.t1",7.6666404992687,6.57326055797837,1.36725229727379,4.80764272335474,1.52720383827153e-06,9.59942503678676e-06,"Up at 72 hpf"
