"","V1","V2","V3","V4","V5","V6","value","1_hpf.x","4_hpf.x","9_hpf.x","14_hpf.x","22_hpf.x","28_hpf.x","48_hpf.x","72_hpf.x","1_hpf.y","4_hpf.y","9_hpf.y","14_hpf.y","22_hpf.y","28_hpf.y","48_hpf.y","72_hpf.y"
"1","Montipora_capitata_HIv3___Scaffold_10_667068","Montipora_capitata_HIv3___RNAseq.g5765.t1a",144,-20.64,"63.64%","63.64%",-0.710513623503011,4365.86,4184.1,1740.01,1171,5283.73,7897.06,11263.64,5195.88,1381,682,1606,409,148,233,290,179
"2","Montipora_capitata_HIv3___Scaffold_10_667068","Montipora_capitata_HIv3___RNAseq.g6847.t1",159,-21.44,"72.22%","77.78%",-0.862346630524172,4365.86,4184.1,1740.01,1171,5283.73,7897.06,11263.64,5195.88,3405,2305,4674,2938,2011,2155,1774,1449
"3","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.6810_t",154,-21.26,"64.71%","82.35%",-0.896064835007208,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,0,0,0,77,72
"4","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.6810_t",154,-21.26,"64.71%","82.35%",-0.896064835007208,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,0,0,0,77,72
"5","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.6810_t",154,-21.26,"64.71%","82.35%",-0.896064835007208,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,0,0,0,77,72
"6","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g14916.t1",147,-27.81,"65.00%","75.00%",-0.701869595066489,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,7,0,0,181,576,588,515
"7","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g14916.t1",147,-27.81,"65.00%","75.00%",-0.701869595066489,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,7,0,0,181,576,588,515
"8","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g14916.t1",147,-27.81,"65.00%","75.00%",-0.701869595066489,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,7,0,0,181,576,588,515
"9","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g33559.t1",149,-21.37,"75.00%","91.67%",-0.747873627702138,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,1051,520,1247,439,1072,1472,1618,1008
"10","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g33559.t1",149,-21.37,"75.00%","91.67%",-0.747873627702138,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,1051,520,1247,439,1072,1472,1618,1008
"11","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g33559.t1",149,-21.37,"75.00%","91.67%",-0.747873627702138,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,1051,520,1247,439,1072,1472,1618,1008
"12","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.6810_t",154,-21.26,"64.71%","82.35%",-0.896064835007208,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,0,0,0,77,72
"13","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.6810_t",154,-21.26,"64.71%","82.35%",-0.896064835007208,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,0,0,0,77,72
"14","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.6810_t",154,-21.26,"64.71%","82.35%",-0.896064835007208,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,0,0,0,77,72
"15","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g14916.t1",147,-27.81,"65.00%","75.00%",-0.701869595066489,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,7,0,0,181,576,588,515
"16","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g14916.t1",147,-27.81,"65.00%","75.00%",-0.701869595066489,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,7,0,0,181,576,588,515
"17","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g14916.t1",147,-27.81,"65.00%","75.00%",-0.701869595066489,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,7,0,0,181,576,588,515
"18","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g33559.t1",149,-21.37,"75.00%","91.67%",-0.747873627702138,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,1051,520,1247,439,1072,1472,1618,1008
"19","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g33559.t1",149,-21.37,"75.00%","91.67%",-0.747873627702138,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,1051,520,1247,439,1072,1472,1618,1008
"20","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g33559.t1",149,-21.37,"75.00%","91.67%",-0.747873627702138,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,1051,520,1247,439,1072,1472,1618,1008
"21","Montipora_capitata_HIv3___Scaffold_13_949160","Montipora_capitata_HIv3___TS.g35686.t1",167,-25.21,"71.43%","85.71%",-0.823595693742694,3929.27,5733.77,336.78,791.21,275.19,883.59,439.99,623.51,0,0,0,19,29,52,25,39
"22","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.6810_t",154,-21.26,"64.71%","82.35%",-0.896064835007208,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,0,0,0,77,72
"23","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.6810_t",154,-21.26,"64.71%","82.35%",-0.896064835007208,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,0,0,0,77,72
"24","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.6810_t",154,-21.26,"64.71%","82.35%",-0.896064835007208,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,0,0,0,77,72
"25","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g14916.t1",147,-27.81,"65.00%","75.00%",-0.701869595066489,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,7,0,0,181,576,588,515
"26","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g14916.t1",147,-27.81,"65.00%","75.00%",-0.701869595066489,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,7,0,0,181,576,588,515
"27","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g14916.t1",147,-27.81,"65.00%","75.00%",-0.701869595066489,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,7,0,0,181,576,588,515
"28","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g33559.t1",149,-21.37,"75.00%","91.67%",-0.747873627702138,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,1051,520,1247,439,1072,1472,1618,1008
"29","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g33559.t1",149,-21.37,"75.00%","91.67%",-0.747873627702138,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,1051,520,1247,439,1072,1472,1618,1008
"30","Montipora_capitata_HIv3___Scaffold_151_1075760","Montipora_capitata_HIv3___RNAseq.g33559.t1",149,-21.37,"75.00%","91.67%",-0.747873627702138,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,1051,520,1247,439,1072,1472,1618,1008
"31","Montipora_capitata_HIv3___Scaffold_2_124999","Montipora_capitata_HIv3___RNAseq.40944_t",155,-20.62,"50.00%","81.82%",-0.920199448995785,3710.98,6508.6,1122.59,1487.48,8310.86,5301.52,17863.43,48321.73,1852,1032,2048,734,1105,1046,518,316
"32","Montipora_capitata_HIv3___Scaffold_2_124999","Montipora_capitata_HIv3___RNAseq.g5535.t1b",157,-20.68,"71.43%","80.95%",-0.78617633516765,3710.98,6508.6,1122.59,1487.48,8310.86,5301.52,17863.43,48321.73,6226,3684,6739,3354,5092,5387,3912,2223
"33","Montipora_capitata_HIv3___Scaffold_2_124999","Montipora_capitata_HIv3___RNAseq.g6177.t1",153,-20.49,"61.29%","67.74%",-0.765819991928631,3710.98,6508.6,1122.59,1487.48,8310.86,5301.52,17863.43,48321.73,8275,5868,17294,9660,16816,12385,6531,5004
"34","Montipora_capitata_HIv3___Scaffold_2_64557","Montipora_capitata_HIv3___TS.g30953.t1",147,-20.3,"68.75%","81.25%",-0.766614393261313,436.59,0,56.13,316.49,550.39,386.57,1495.95,3948.87,11508,8296,14194,6792,2329,1878,1848,1549
"35","Montipora_capitata_HIv3___Scaffold_2_67225","Montipora_capitata_HIv3___RNAseq.g25318.t1",152,-20.22,"57.89%","78.95%",-0.736834936471389,218.29,154.97,0,63.3,605.43,607.47,1055.97,1870.52,788,438,1511,282,52,43,0,0
"36","Montipora_capitata_HIv3___Scaffold_2_98529","Montipora_capitata_HIv3___RNAseq.g49789.t1a",172,-25.86,"76.19%","85.71%",-0.762010870383994,24012.22,9452.97,7577.46,12153.05,71935.71,52297.33,188225.98,210121.58,3754,2513,5216,1071,806,1098,1312,1238
"37","Montipora_capitata_HIv3___Scaffold_4_291272","Montipora_capitata_HIv3___TS.g42423.t1",160,-21.83,"77.78%","83.33%",-0.922390996687133,0,0,224.52,474.73,3687.6,2926.88,7039.77,4052.79,557,368,428,168,101,84,81,62
"38","Montipora_capitata_HIv3___Scaffold_5_307262","Montipora_capitata_HIv3___RNAseq.g21405.t1",146,-21.9,"63.64%","68.18%",-0.804756969411443,0,1239.73,112.26,126.59,110.08,386.57,967.97,415.67,10,1,15,49,31,38,6,8
"39","Montipora_capitata_HIv3___Scaffold_5_375083","Montipora_capitata_HIv3___RNAseq.g36441.t1",151,-20.81,"66.67%","72.22%",-0.762743350583755,2401.22,4494.03,1459.36,1329.24,2641.86,2374.64,1407.95,623.51,0,0,0,0,6,11,53,44
"40","Montipora_capitata_HIv3___Scaffold_5_375083","Montipora_capitata_HIv3___TS.g50854.t1",158,-21.73,"66.67%","71.43%",-0.757601421355283,2401.22,4494.03,1459.36,1329.24,2641.86,2374.64,1407.95,623.51,8,14,0,13,80,136,121,219
"41","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___RNAseq.g20458.t1",151,-20.81,"68.42%","84.21%",-0.711277920695849,873.17,2944.37,1459.36,3829.48,4843.41,4417.94,5367.83,8001.66,19857,9550,20884,9320,11869,9664,6055,5352
"42","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___RNAseq.g30509.t1",164,-21.34,"68.18%","81.82%",-0.899263934985318,873.17,2944.37,1459.36,3829.48,4843.41,4417.94,5367.83,8001.66,130,65,200,53,58,42,26,18
"43","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___RNAseq.g44153.t1",164,-23.26,"84.21%","84.21%",-0.867759508541077,873.17,2944.37,1459.36,3829.48,4843.41,4417.94,5367.83,8001.66,3560,2508,4417,1483,1693,1560,783,305
"44","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___TS.g41793.t1",154,-23.25,"68.18%","72.73%",-0.87742587760175,873.17,2944.37,1459.36,3829.48,4843.41,4417.94,5367.83,8001.66,868,307,573,131,477,367,212,145
"45","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___TS.g42423.t1",166,-23.64,"65.22%","82.61%",-0.90097264581965,873.17,2944.37,1459.36,3829.48,4843.41,4417.94,5367.83,8001.66,557,368,428,168,101,84,81,62
"46","Montipora_capitata_HIv3___Scaffold_6_400996","Montipora_capitata_HIv3___TS.g44851.t1",157,-24.57,"65.22%","73.91%",-0.758155155071306,873.17,2944.37,1459.36,3829.48,4843.41,4417.94,5367.83,8001.66,90,74,117,57,328,196,76,30
"47","Montipora_capitata_HIv3___Scaffold_6_439094","Montipora_capitata_HIv3___RNAseq.g36393.t1",140,-20.09,"100.00%","100.00%",-0.757375280370806,218.29,619.87,56.13,63.3,220.16,331.35,615.98,1143.09,45,4,25,4,4,12,5,0
"48","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___RNAseq.g25318.t1",173,-29,"80.00%","80.00%",-0.911081217701371,5893.91,4184.1,2974.85,4842.23,22896.14,28164.35,143875.4,80016.63,788,438,1511,282,52,43,0,0
"49","Montipora_capitata_HIv3___Scaffold_8_488597","Montipora_capitata_HIv3___RNAseq.g4335.t3",145,-20.15,"100.00%","100.00%",-0.933019292020486,5893.91,4184.1,2974.85,4842.23,22896.14,28164.35,143875.4,80016.63,359,252,424,243,63,42,39,17
"50","Montipora_capitata_HIv3___Scaffold_8_508612","Montipora_capitata_HIv3___RNAseq.g43850.t1",178,-22.03,"84.21%","94.74%",-0.905970636731505,654.88,464.9,224.52,379.78,3082.17,2816.43,8359.73,9456.51,1091,700,1867,553,390,389,265,153
"51","Montipora_capitata_HIv3___Scaffold_8_542727","Montipora_capitata_HIv3___RNAseq.g3874.t1",162,-21.01,"73.68%","84.21%",-0.840937343186786,218.29,1239.73,336.78,917.81,2146.51,1932.85,4487.86,2597.94,86,82,96,35,0,12,0,3
"52","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g16009.t1",156,-25.62,"76.47%","82.35%",-0.835290227213349,310194.28,252595.69,164402.78,78298.57,127690.02,100342.39,73125.66,49464.82,1906,940,2521,1323,2376,2976,2099,1701
"53","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g32899.t1",167,-30.11,"70.00%","90.00%",-0.856561960966223,310194.28,252595.69,164402.78,78298.57,127690.02,100342.39,73125.66,49464.82,0,0,0,0,15,5,25,0
"54","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g41943.t1",151,-20.05,"65.00%","75.00%",-0.77016715213637,310194.28,252595.69,164402.78,78298.57,127690.02,100342.39,73125.66,49464.82,2,0,2,3,26,14,35,18
"55","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g45310.t1",142,-20.86,"77.78%","100.00%",-0.813775529762213,310194.28,252595.69,164402.78,78298.57,127690.02,100342.39,73125.66,49464.82,831,423,1222,813,3294,3593,2049,1158
"56","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___RNAseq.g45413.t1",154,-22.72,"84.62%","84.62%",-0.951661842863831,310194.28,252595.69,164402.78,78298.57,127690.02,100342.39,73125.66,49464.82,0,0,8,3,100,69,40,60
"57","Montipora_capitata_HIv3___Scaffold_9_613239","Montipora_capitata_HIv3___TS.g26667.t4",153,-31.56,"65.22%","69.57%",-0.892900628692447,310194.28,252595.69,164402.78,78298.57,127690.02,100342.39,73125.66,49464.82,7,0,0,10,10,21,50,41
"58","Montipora_capitata_HIv3___Scaffold_9_625013","Montipora_capitata_HIv3___RNAseq.g45295.t1",146,-20.79,"73.68%","78.95%",-0.827423634315305,52608.6,33627.77,29692.41,18324.52,27134.13,24795.67,23231.26,9144.76,0,0,0,22,21,0,28,3262
"59","Montipora_capitata_HIv3___Scaffold_10_645863","Montipora_capitata_HIv3___RNAseq.g8731.t1",148,-20.09,"81.82%","90.91%",-0.758084598234078,2401.22,2014.57,729.68,348.13,715.5,773.14,1055.97,2701.86,575,208,928,610,896,765,448,287
"60","Montipora_capitata_HIv3___Scaffold_10_645863","Montipora_capitata_HIv3___RNAseq.g8731.t1",148,-20.09,"81.82%","90.91%",-0.758084598234078,2401.22,2014.57,729.68,348.13,715.5,773.14,1055.97,2701.86,575,208,928,610,896,765,448,287
"61","Montipora_capitata_HIv3___Scaffold_10_645863","Montipora_capitata_HIv3___RNAseq.g8731.t1",148,-20.09,"81.82%","90.91%",-0.758084598234078,2401.22,2014.57,729.68,348.13,715.5,773.14,1055.97,2701.86,575,208,928,610,896,765,448,287
"62","Montipora_capitata_HIv3___Scaffold_10_645863","Montipora_capitata_HIv3___RNAseq.g8731.t1",148,-20.09,"81.82%","90.91%",-0.758084598234078,2401.22,2014.57,729.68,348.13,715.5,773.14,1055.97,2701.86,575,208,928,610,896,765,448,287
"63","Montipora_capitata_HIv3___Scaffold_10_667068","Montipora_capitata_HIv3___RNAseq.g49502.t1",156,-20.68,"76.47%","82.35%",-0.728422549734864,4365.86,4184.1,1740.01,1171,5283.73,7897.06,11263.64,5195.88,1051,652,1089,438,1028,778,271,406
"64","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g2016.t1",160,-25.93,"73.68%","89.47%",-0.719279452459501,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,10,6,8,22,10
"65","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g2016.t1",160,-25.93,"73.68%","89.47%",-0.719279452459501,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,10,6,8,22,10
"66","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g2016.t1",160,-25.93,"73.68%","89.47%",-0.719279452459501,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,10,6,8,22,10
"67","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g562.t1",146,-20.26,"70.59%","76.47%",-0.834990915620684,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,19,6,37,32,69,137,68,60
"68","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g562.t1",146,-20.26,"70.59%","76.47%",-0.834990915620684,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,19,6,37,32,69,137,68,60
"69","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___RNAseq.g562.t1",146,-20.26,"70.59%","76.47%",-0.834990915620684,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,19,6,37,32,69,137,68,60
"70","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___TS.g33157.t3",187,-39.13,"94.44%","94.44%",-0.85202285581666,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,60,44,135,56,1363,1474,1911,1110
"71","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___TS.g33157.t3",187,-39.13,"94.44%","94.44%",-0.85202285581666,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,60,44,135,56,1363,1474,1911,1110
"72","Montipora_capitata_HIv3___Scaffold_10_729473","Montipora_capitata_HIv3___TS.g33157.t3",187,-39.13,"94.44%","94.44%",-0.85202285581666,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,60,44,135,56,1363,1474,1911,1110
"73","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g2016.t1",160,-25.93,"73.68%","89.47%",-0.719279452459501,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,10,6,8,22,10
"74","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g2016.t1",160,-25.93,"73.68%","89.47%",-0.719279452459501,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,10,6,8,22,10
"75","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g2016.t1",160,-25.93,"73.68%","89.47%",-0.719279452459501,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,0,0,0,10,6,8,22,10
"76","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g562.t1",146,-20.26,"70.59%","76.47%",-0.834990915620684,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,19,6,37,32,69,137,68,60
"77","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g562.t1",146,-20.26,"70.59%","76.47%",-0.834990915620684,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,19,6,37,32,69,137,68,60
"78","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___RNAseq.g562.t1",146,-20.26,"70.59%","76.47%",-0.834990915620684,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,19,6,37,32,69,137,68,60
"79","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___TS.g33157.t3",187,-39.13,"94.44%","94.44%",-0.85202285581666,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,60,44,135,56,1363,1474,1911,1110
"80","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___TS.g33157.t3",187,-39.13,"94.44%","94.44%",-0.85202285581666,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,60,44,135,56,1363,1474,1911,1110
"81","Montipora_capitata_HIv3___Scaffold_11_826703","Montipora_capitata_HIv3___TS.g33157.t3",187,-39.13,"94.44%","94.44%",-0.85202285581666,7858.55,10847.67,13022,12342.94,15686.06,10603.05,4927.84,1350.93,60,44,135,56,1363,1474,1911,1110
"82","Montipora_capitata_HIv3___Scaffold_11_841599","Montipora_capitata_HIv3___RNAseq.g47035.t1",140,-20.99,"100.00%","100.00%",-0.742355873579671,1091.46,3874.17,168.39,316.49,275.19,386.57,879.97,1558.77,21,12,45,79,43,16,21,21
"83","Montipora_capitata_HIv3___Scaffold_11_841599","Montipora_capitata_HIv3___RNAseq.g5200.t1",146,-23.04,"65.00%","70.00%",-0.751662284857485,1091.46,3874.17,168.39,316.49,275.19,386.57,879.97,1558.77,0,0,10,39,49,27,17,26
"84","Montipora_capitata_HIv3___Scaffold_11_841599","Montipora_capitata_HIv3___RNAseq.g7034.t1",162,-20.32,"70.59%","88.24%",-0.839287493464013,1091.46,3874.17,168.39,316.49,275.19,386.57,879.97,1558.77,578,271,1515,1145,3508,3125,1304,605
"85","Montipora_capitata_HIv3___Scaffold_13_949160","Montipora_capitata_HIv3___RNAseq.g5370.t1",151,-20.73,"71.43%","85.71%",-0.753224757516311,3929.27,5733.77,336.78,791.21,275.19,883.59,439.99,623.51,552,167,509,241,512,402,371,169
"86","Montipora_capitata_HIv3___Scaffold_13_949160","Montipora_capitata_HIv3___RNAseq.g5370.t1",155,-22.32,"66.67%","77.78%",-0.753224757516311,3929.27,5733.77,336.78,791.21,275.19,883.59,439.99,623.51,552,167,509,241,512,402,371,169
"87","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g15825.t1",160,-25.43,"80.00%","86.67%",-0.700684518345595,2837.81,3874.17,1178.72,981.11,1045.74,1988.07,1495.95,1558.77,2400,1127,4186,1756,3209,3387,3727,1511
"88","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g15825.t1",160,-25.43,"80.00%","86.67%",-0.700684518345595,3056.1,2789.4,1515.49,1360.89,1100.78,2485.09,1319.96,1662.68,2400,1127,4186,1756,3209,3387,3727,1511
"89","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g15825.t1",160,-25.43,"80.00%","86.67%",-0.700684518345595,10478.06,8678.13,4378.09,3734.53,3522.48,8228.41,5015.84,4572.38,2400,1127,4186,1756,3209,3387,3727,1511
"90","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g15825.t1",160,-25.43,"80.00%","86.67%",-0.700684518345595,10914.65,9917.87,4883.25,4304.21,3852.72,8780.65,5543.82,5091.97,2400,1127,4186,1756,3209,3387,3727,1511
"91","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g15825.t1",160,-25.43,"80.00%","86.67%",-0.700684518345595,9168.3,8368.2,4209.7,3766.18,3357.37,7455.27,4663.85,4364.54,2400,1127,4186,1756,3209,3387,3727,1511
"92","Montipora_capitata_HIv3___Scaffold_13_954675","Montipora_capitata_HIv3___RNAseq.g15825.t1",160,-25.43,"80.00%","86.67%",-0.700684518345595,6112.2,5578.8,2862.6,2563.53,2201.55,4970.18,2991.9,3013.61,2400,1127,4186,1756,3209,3387,3727,1511
