"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Montipora_capitata_HIv3___Scaffold_9_587940",36559.7755052354,-0.973529904987671,0.231533943120724,49.2334981478626,2.04206913099802e-08,2.07254777474426e-08
"Montipora_capitata_HIv3___Scaffold_10_631026",36559.7755052354,-0.973529904987671,0.231533943120724,49.2334981478626,2.04206913099802e-08,2.07254777474426e-08
"Montipora_capitata_HIv3___Scaffold_5_322659",1137.50445097218,1.38342873579532,0.0429517541019606,7987.80609957951,0,0
"Montipora_capitata_HIv3___Scaffold_6_419669",1137.50445097218,1.38342873579532,0.0429517541019606,7987.80609957951,0,0
"Montipora_capitata_HIv3___Scaffold_10_645863",1137.50445097218,1.38342873579532,0.0429517541019606,7987.80609957951,0,0
"Montipora_capitata_HIv3___Scaffold_2_87665",1137.50445097218,1.38342873579532,0.0429517541019606,7987.80609957951,0,0
"Montipora_capitata_HIv3___Scaffold_10_667068",4471.04306002027,0.517932017349691,0.168070348497082,409.629063053279,2.05263758709788e-84,3.17225808915127e-84
"Montipora_capitata_HIv3___Scaffold_11_826703",9734.99004858162,-2.023229402172,0.044788846228775,9043.09395887616,0,0
"Montipora_capitata_HIv3___Scaffold_10_729473",9734.99004858162,-2.023229402172,0.044788846228775,9043.09395887616,0,0
"Montipora_capitata_HIv3___Scaffold_151_1075760",9734.99004858162,-2.023229402172,0.044788846228775,9043.09395887616,0,0
"Montipora_capitata_HIv3___Scaffold_11_759461",79.7885229852816,-4.41046394147663,1.10577371682178,58.0641730448751,NA,NA
"Montipora_capitata_HIv3___Scaffold_12_859123",79.7885229852816,-4.41046394147663,1.10577371682178,58.0641730448751,NA,NA
"Montipora_capitata_HIv3___Scaffold_11_796076",307.406733625627,3.09919881357732,0.263919483708994,248.31820374615,6.31712081375356e-50,8.10498519500456e-50
"Montipora_capitata_HIv3___Scaffold_11_787579",307.406733625627,3.09919881357732,0.263919483708994,248.31820374615,6.31712081375356e-50,8.10498519500456e-50
"Montipora_capitata_HIv3___Scaffold_11_816162",307.406733625627,3.09919881357732,0.263919483708994,248.31820374615,6.31712081375356e-50,8.10498519500456e-50
"Montipora_capitata_HIv3___Scaffold_11_801837",736.721662657063,-7.41748956449626,0.246143786877289,22568.1281865063,0,0
"Montipora_capitata_HIv3___Scaffold_11_841599",860.121440166317,0.387330839350632,0.10200878098348,2169.67899652919,0,0
"Montipora_capitata_HIv3___Scaffold_12_910953",3581.95382627694,-0.182898577785153,0.0873729609869053,6275.3302323955,0,0
"Montipora_capitata_HIv3___Scaffold_13_949160",1242.77810952126,0.92729979868533,0.289151740447085,256.196156857649,1.32887341943616e-51,1.88257067753457e-51
"Montipora_capitata_HIv3___Scaffold_13_954675",1609.78639103734,0.15121303493005,0.0716049769982769,315.176695233574,3.4624589932838e-64,5.23216025651774e-64
"Montipora_capitata_HIv3___Scaffold_14_1017829",8432.31433816547,1.31170002941644,0.0706617497684158,2071.31301422478,0,0
"Montipora_capitata_HIv3___Scaffold_14_1018693",10638.0672602076,0.0736333679823415,0.0148968081859932,33529.8427010165,0,0
"Montipora_capitata_HIv3___Scaffold_14_992284",565.741575177114,-3.55793523548686,0.749437008937589,261.305284374069,1.08473409233826e-52,1.5694025165745e-52
"Montipora_capitata_HIv3___Scaffold_14_994729",1773.5729897804,-0.248537190167102,0.035032279425056,7668.52752200134,0,0
"Montipora_capitata_HIv3___Scaffold_14_999529",1407.56849752452,0.230291048725447,0.0680145143348371,2096.72036112496,0,0
"Montipora_capitata_HIv3___Scaffold_1_35393",629.500665667663,1.01967318577901,0.0501293181064696,4757.54233674204,0,0
"Montipora_capitata_HIv3___Scaffold_1_4183",7298.65216162531,-4.92618119799266,0.25433857557343,329082.230565491,0,0
"Montipora_capitata_HIv3___Scaffold_2_124999",10493.1272838617,-0.0585132594958251,0.198105208716505,1154.73543881612,4.32834403714616e-245,7.954794446647e-245
"Montipora_capitata_HIv3___Scaffold_2_64557",861.114135501725,-0.918807112175405,0.0547645150219687,36008.2481377289,0,0
"Montipora_capitata_HIv3___Scaffold_2_67225",514.531962690641,0.28772354872184,0.322624520923615,527.331159481316,1.06334144702509e-109,1.68156321855131e-109
"Montipora_capitata_HIv3___Scaffold_2_71488",19194.7388387942,1.08676093190515,0.0327985070127766,6138.76854412777,0,0
"Montipora_capitata_HIv3___Scaffold_2_96328",5710.78380912737,-4.22165037612753,0.0820716482927528,9380.3719866897,0,0
"Montipora_capitata_HIv3___Scaffold_2_98529",66330.1086994985,-0.390537706656106,0.205903875127549,1110.0537089074,1.97726850044236e-235,3.53826994816001e-235
