#miRNA	read_count	precursor	total	s09	s13	s23	s35	s52	s60	s72	s85	s09(norm)	s13(norm)	s23(norm)	s35(norm)	s52(norm)	s60(norm)	s72(norm)	s85(norm)
Montipora_capitata_HIv3___Scaffold_10_624116	2092.00	Montipora_capitata_HIv3___Scaffold_10_624116	2092.00	148.00	181.00	342.00	327.00	226.00	270.00	277.00	321.00	86196.85	62651.44	83292.74	56175.91	33928.84	39548.85	36815.52	51541.43
Montipora_capitata_HIv3___Scaffold_10_638801	55.00	Montipora_capitata_HIv3___Scaffold_10_638801	55.00	2.00	3.00	1.00	4.00	5.00	6.00	11.00	23.00	1164.82	1038.42	243.55	687.17	750.64	878.86	1461.99	3693.00
Montipora_capitata_HIv3___Scaffold_10_659884	481.00	Montipora_capitata_HIv3___Scaffold_10_659884	481.00	18.00	20.00	22.00	33.00	84.00	135.00	120.00	49.00	10483.40	6922.81	5358.01	5669.13	12610.72	19774.43	15948.96	7867.69
Montipora_capitata_HIv3___Scaffold_10_721713	744.00	Montipora_capitata_HIv3___Scaffold_10_721713	744.00	12.00	32.00	124.00	248.00	170.00	124.00	26.00	8.00	6988.93	11076.50	30199.71	42604.36	25521.69	18163.18	3455.61	1284.52
Montipora_capitata_HIv3___Scaffold_11_742252	172.00	Montipora_capitata_HIv3___Scaffold_11_742252	172.00	14.00	47.00	20.00	22.00	31.00	24.00	8.00	6.00	8153.76	16268.61	4870.92	3779.42	4653.96	3515.45	1063.26	963.39
Montipora_capitata_HIv3___Scaffold_11_742252	505.00	Montipora_capitata_HIv3___Scaffold_11_742252	505.00	46.00	128.00	58.00	68.00	99.00	62.00	27.00	17.00	26790.91	44305.99	14125.67	11681.84	14862.63	9081.59	3588.52	2729.61
Montipora_capitata_HIv3___Scaffold_11_742252	505.00	Montipora_capitata_HIv3___Scaffold_11_742252	505.00	46.00	128.00	58.00	68.00	99.00	62.00	27.00	17.00	26790.91	44305.99	14125.67	11681.84	14862.63	9081.59	3588.52	2729.61
Montipora_capitata_HIv3___Scaffold_11_742252	505.00	Montipora_capitata_HIv3___Scaffold_11_742252	505.00	46.00	128.00	58.00	68.00	99.00	62.00	27.00	17.00	26790.91	44305.99	14125.67	11681.84	14862.63	9081.59	3588.52	2729.61
Montipora_capitata_HIv3___Scaffold_11_742252	505.00	Montipora_capitata_HIv3___Scaffold_11_742252	505.00	46.00	128.00	58.00	68.00	99.00	62.00	27.00	17.00	26790.91	44305.99	14125.67	11681.84	14862.63	9081.59	3588.52	2729.61
Montipora_capitata_HIv3___Scaffold_11_742252	505.00	Montipora_capitata_HIv3___Scaffold_11_742252	505.00	46.00	128.00	58.00	68.00	99.00	62.00	27.00	17.00	26790.91	44305.99	14125.67	11681.84	14862.63	9081.59	3588.52	2729.61
