"length","gene_id"
1346,"Montipora_capitata_HIv3___RNAseq.g37162.t1"
503,"Montipora_capitata_HIv3___TS.g29675.t1"
779,"Montipora_capitata_HIv3___TS.g29676.t1"
1151,"Montipora_capitata_HIv3___TS.g29677.t1d"
994,"Montipora_capitata_HIv3___TS.g29677.t1c"
1136,"Montipora_capitata_HIv3___TS.g29677.t1b"
2042,"Montipora_capitata_HIv3___TS.g29677.t1a"
64636,"Montipora_capitata_HIv3___RNAseq.g37168.t1"
314,"Montipora_capitata_HIv3___TS.g29678.t1"
2799,"Montipora_capitata_HIv3___TS.g29679.t1"
1431,"Montipora_capitata_HIv3___TS.g29680.t1"
572,"Montipora_capitata_HIv3___TS.g29681.t1"
422,"Montipora_capitata_HIv3___TS.g29682.t1"
458,"Montipora_capitata_HIv3___TS.g29683.t1"
215,"Montipora_capitata_HIv3___TS.g29684.t1"
4631,"Montipora_capitata_HIv3___RNAseq.g37169.t1"
1124,"Montipora_capitata_HIv3___RNAseq.g37170.t1"
374,"Montipora_capitata_HIv3___RNAseq.g37171.t1"
14746,"Montipora_capitata_HIv3___TS.g29688.t1"
19321,"Montipora_capitata_HIv3___RNAseq.g37173.t1"
1378,"Montipora_capitata_HIv3___RNAseq.g37174.t1"
6100,"Montipora_capitata_HIv3___TS.g29690.t1"
22542,"Montipora_capitata_HIv3___RNAseq.g37176.t2"
19522,"Montipora_capitata_HIv3___RNAseq.g37177.t1"
19831,"Montipora_capitata_HIv3___RNAseq.g37178.t1"
1325,"Montipora_capitata_HIv3___RNAseq.39143_t"
2925,"Montipora_capitata_HIv3___RNAseq.g37180.t1"
11377,"Montipora_capitata_HIv3___RNAseq.g37181.t1"
1289,"Montipora_capitata_HIv3___RNAseq.g37182.t1"
2597,"Montipora_capitata_HIv3___RNAseq.g37183.t1"
649,"Montipora_capitata_HIv3___TS.g29699.t1"
6364,"Montipora_capitata_HIv3___RNAseq.g37185.t1"
7809,"Montipora_capitata_HIv3___RNAseq.g37186.t2"
5076,"Montipora_capitata_HIv3___RNAseq.g37187.t1"
27865,"Montipora_capitata_HIv3___TS.g29704.t1"
15331,"Montipora_capitata_HIv3___RNAseq.g37189.t1"
9821,"Montipora_capitata_HIv3___RNAseq.g37190.t1"
1687,"Montipora_capitata_HIv3___RNAseq.g37191.t1"
5124,"Montipora_capitata_HIv3___RNAseq.g37192.t1"
6761,"Montipora_capitata_HIv3___RNAseq.g37193.t1"
1919,"Montipora_capitata_HIv3___RNAseq.g37194.t1"
3101,"Montipora_capitata_HIv3___RNAseq.g37195.t1"
20360,"Montipora_capitata_HIv3___RNAseq.g37196.t1"
5517,"Montipora_capitata_HIv3___RNAseq.g37197.t1"
11691,"Montipora_capitata_HIv3___RNAseq.g37198.t1"
13491,"Montipora_capitata_HIv3___RNAseq.g37199.t1"
2048,"Montipora_capitata_HIv3___RNAseq.g37200.t1"
12460,"Montipora_capitata_HIv3___TS.g29717.t1"
22866,"Montipora_capitata_HIv3___TS.g29718.t1"
7120,"Montipora_capitata_HIv3___TS.g29719.t1"
21252,"Montipora_capitata_HIv3___TS.g29720.t1"
5802,"Montipora_capitata_HIv3___TS.g29721.t1"
7549,"Montipora_capitata_HIv3___RNAseq.g37206.t1"
8847,"Montipora_capitata_HIv3___RNAseq.g37207.t1"
1016,"Montipora_capitata_HIv3___TS.g29723.t1"
362,"Montipora_capitata_HIv3___RNAseq.g37209.t1"
9874,"Montipora_capitata_HIv3___RNAseq.g37210.t1"
15407,"Montipora_capitata_HIv3___RNAseq.g37211.t1"
49988,"Montipora_capitata_HIv3___TS.g29726.t2"
494,"Montipora_capitata_HIv3___RNAseq.g37213.t1"
19328,"Montipora_capitata_HIv3___RNAseq.g37214.t2"
30748,"Montipora_capitata_HIv3___RNAseq.g37215.t1"
14455,"Montipora_capitata_HIv3___RNAseq.g37216.t1"
12330,"Montipora_capitata_HIv3___TS.g29730.t1"
12180,"Montipora_capitata_HIv3___RNAseq.g37217.t1"
18210,"Montipora_capitata_HIv3___TS.g29732.t1b"
6230,"Montipora_capitata_HIv3___TS.g29732.t1a"
14844,"Montipora_capitata_HIv3___TS.g29733.t2"
1103,"Montipora_capitata_HIv3___RNAseq.g37221.t1"
2949,"Montipora_capitata_HIv3___RNAseq.g37222.t1"
1869,"Montipora_capitata_HIv3___RNAseq.g37223.t1b"
2841,"Montipora_capitata_HIv3___RNAseq.g37223.t1a"
